experiment,disease,topic,profiles,gt,total,tp,fp,fn,tn,strong,possible,unlikely,errors,missing_gt,recall,precision,f1,fdr,nns,workload_reduction
prompt_tuned_sparse_boyue_qwen36plus_20260509,covid19,reproduction_number,1,36,575,31,219,5,320,205,45,325,0,0,0.8611111111111112,0.124,0.21678321678321677,0.876,8.064516129032258,0.5565217391304348
prompt_tuned_sparse_boyue_qwen36plus_20260509,mpox,fatality,4,71,1770,62,180,9,1519,83,159,1528,0,0,0.8732394366197183,0.256198347107438,0.3961661341853035,0.743801652892562,3.9032258064516134,0.8581920903954803
prompt_tuned_sparse_boyue_qwen36plus_20260509,mpox,reproduction_number,1,3,819,3,3,0,813,5,1,813,0,0,1.0,0.5,0.6666666666666666,0.5,2.0,0.9926739926739927
prompt_tuned_sparse_boyue_qwen36plus_20260509,mpox,serial_interval,4,33,1256,29,52,4,1171,60,21,1175,0,0,0.8787878787878788,0.35802469135802467,0.5087719298245613,0.6419753086419753,2.793103448275862,0.9323248407643312
prompt_tuned_sparse_r0recall_boyue_qwen36plus_20260509,covid19,reproduction_number,2,61,1284,59,650,2,573,540,169,575,0,0,0.9672131147540983,0.08321579689703808,0.15324675324675321,0.9167842031029619,12.016949152542374,0.4462616822429907
prompt_tuned_ta_boyue_qwen36plus_20260509,mpox,fatality,1,14,92,11,15,3,63,5,21,66,0,0,0.7857142857142857,0.4230769230769231,0.55,0.5769230769230769,2.3636363636363638,0.6847826086956522
smoke_5d_models_20260507_0315_lab_deepseek-3-2,covid19,serial_interval,1,9,84,8,52,1,23,51,9,24,10,0,0.8888888888888888,0.13333333333333333,0.2318840579710145,0.8666666666666667,7.5,0.27380952380952384
smoke_5d_models_20260507_0315_lab_deepseek-3-2,mpox,serial_interval,1,5,26,5,5,0,16,5,5,15,1,0,1.0,0.5,0.6666666666666666,0.5,2.0,0.6153846153846154
smoke_b20_openrouter_gemini_2_5_flash_20260507,mpox,serial_interval,1,5,27,5,12,0,10,7,10,10,0,0,1.0,0.29411764705882354,0.45454545454545453,0.7058823529411764,3.4,0.37037037037037035
smoke_b20_openrouter_gpt_4_1_20260507,mpox,serial_interval,1,5,27,5,5,0,17,5,5,17,0,0,1.0,0.5,0.6666666666666666,0.5,2.0,0.6296296296296297
smoke_batch_multi_20260507,mpox,serial_interval,1,5,27,5,6,0,16,5,6,16,0,0,1.0,0.45454545454545453,0.625,0.5454545454545454,2.2,0.5925925925925926
smoke_batch_multi_b20c3_20260507,mpox,serial_interval,1,5,27,5,5,0,17,5,5,17,0,0,1.0,0.5,0.6666666666666666,0.5,2.0,0.6296296296296297
smoke_batch_multi_b20c3_rqonce_20260507,mpox,serial_interval,1,5,27,5,9,0,13,5,9,13,0,0,1.0,0.35714285714285715,0.5263157894736842,0.6428571428571428,2.8,0.48148148148148145
smoke_batch_multi_b20c3_separated_20260507,mpox,serial_interval,1,5,27,5,5,0,17,5,5,17,0,0,1.0,0.5,0.6666666666666666,0.5,2.0,0.6296296296296297
smoke_batch_multi_b3c4_20260507,mpox,serial_interval,1,5,27,5,7,0,15,6,6,15,0,0,1.0,0.4166666666666667,0.5882352941176471,0.5833333333333333,2.4,0.5555555555555556
smoke_multi_adaptive_llmtier_20260507_lab_deepseek-3-2,mpox,serial_interval,1,5,27,5,4,0,18,6,3,18,0,0,1.0,0.5555555555555556,0.7142857142857143,0.4444444444444444,1.7999999999999998,0.6666666666666666
smoke_multi_adaptive_llmtier_20260507_lab_minimax2-5,mpox,serial_interval,1,5,27,5,4,0,18,7,2,18,0,0,1.0,0.5555555555555556,0.7142857142857143,0.4444444444444444,1.7999999999999998,0.6666666666666666
smoke_multi_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,serial_interval,1,5,27,5,2,0,20,6,1,20,0,0,1.0,0.7142857142857143,0.8333333333333333,0.2857142857142857,1.4,0.7407407407407407
smoke_multi_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,serial_interval,1,5,27,5,2,0,20,7,0,20,0,0,1.0,0.7142857142857143,0.8333333333333333,0.2857142857142857,1.4,0.7407407407407407
smoke_multi_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,serial_interval,1,5,27,5,7,0,15,7,5,15,0,0,1.0,0.4166666666666667,0.5882352941176471,0.5833333333333333,2.4,0.5555555555555556
smoke_multi_smallbatch_llmtier_20260507_boyue_deepseek-v4-pro,mpox,serial_interval,1,5,27,5,2,0,20,7,0,20,0,0,1.0,0.7142857142857143,0.8333333333333333,0.2857142857142857,1.4,0.7407407407407407
smoke_multi_smallbatch_llmtier_20260507_boyue_qwen3-6-plus,mpox,serial_interval,1,5,27,5,2,0,20,7,0,20,0,0,1.0,0.7142857142857143,0.8333333333333333,0.2857142857142857,1.4,0.7407407407407407
smoke_multi_smallbatch_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,serial_interval,1,5,27,5,8,0,14,7,6,14,0,0,1.0,0.38461538461538464,0.5555555555555556,0.6153846153846154,2.5999999999999996,0.5185185185185185
smoke_openrouter_claude_haiku_4_5_20260507,mpox,serial_interval,1,5,27,5,6,0,16,6,5,16,0,0,1.0,0.45454545454545453,0.625,0.5454545454545454,2.2,0.5925925925925926
smoke_openrouter_gemini_2_5_flash_20260507,mpox,serial_interval,1,5,27,5,7,0,15,6,6,15,0,0,1.0,0.4166666666666667,0.5882352941176471,0.5833333333333333,2.4,0.5555555555555556
smoke_openrouter_gpt_4_1_20260507,mpox,serial_interval,1,5,27,5,6,0,16,6,5,16,0,0,1.0,0.45454545454545453,0.625,0.5454545454545454,2.2,0.5925925925925926
smoke_openrouter_gpt_4_1_mini_20260507,mpox,serial_interval,1,5,27,5,5,0,17,5,5,17,0,0,1.0,0.5,0.6666666666666666,0.5,2.0,0.6296296296296297
smoke_openrouter_llama_4_maverick_20260507,mpox,serial_interval,1,5,27,5,8,0,14,5,8,14,0,0,1.0,0.38461538461538464,0.5555555555555556,0.6153846153846154,2.5999999999999996,0.5185185185185185
strategy_binary_strict,covid19,fatality,3,136,4480,108,613,28,3731,656,65,3690,0,0,0.7941176470588235,0.14979195561719832,0.2520420070011668,0.8502080443828017,6.6759259259259265,0.8328125
strategy_binary_strict,covid19,reproduction_number,5,242,2642,199,726,43,1674,908,17,1709,0,0,0.8223140495867769,0.21513513513513513,0.3410454155955441,0.7848648648648648,4.648241206030151,0.6336109008327026
strategy_binary_strict,covid19,serial_interval,2,95,986,87,76,8,816,163,0,820,0,1,0.9157894736842105,0.5337423312883436,0.6744186046511628,0.4662576687116564,1.8735632183908044,0.8275862068965517
tier2_sp_fulltext_p12_v4pro_20260508,covid19,serial_interval,1,19,146,17,23,2,104,29,11,106,0,0,0.8947368421052632,0.425,0.576271186440678,0.575,2.3529411764705883,0.7123287671232876
tier2_sp_fulltext_p12_v4pro_v2_20260508,covid19,serial_interval,1,19,146,17,23,2,104,29,11,106,0,0,0.8947368421052632,0.425,0.576271186440678,0.575,2.3529411764705883,0.7123287671232876
tier2_sp_fulltext_p12_v4pro_v3_20260508,covid19,serial_interval,1,19,146,17,23,2,104,29,11,106,0,0,0.8947368421052632,0.425,0.576271186440678,0.575,2.3529411764705883,0.7123287671232876
