experiment,disease,topic,project,gt,total,tp,fp,fn,tn,strong,possible,unlikely,errors,missing_gt,recall,precision,f1,fdr,nns,workload_reduction
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,serial_interval,11,5,63,5,18,0,40,15,8,40,0,0,1.0,0.21739130434782608,0.3571428571428571,0.782608695652174,4.6000000000000005,0.6349206349206349
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,fatality,4,56,345,56,209,0,80,210,55,80,0,0,1.0,0.21132075471698114,0.3489096573208723,0.7886792452830189,4.732142857142857,0.2318840579710145
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,fatality,5,48,1881,42,569,6,1264,152,459,1270,1,0,0.875,0.06873977086743044,0.1274658573596358,0.9312602291325696,14.547619047619047,0.6719829877724615
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,fatality,6,32,2249,30,1212,2,1005,688,554,1007,4,0,0.9375,0.024154589371980676,0.04709576138147567,0.9758454106280193,41.4,0.4468652734548688
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,reproduction_number,7,122,573,118,119,4,332,139,98,336,1,0,0.9672131147540983,0.4978902953586498,0.6573816155988857,0.5021097046413502,2.0084745762711864,0.5794066317626527
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,reproduction_number,8,44,575,44,318,0,213,267,95,213,0,0,1.0,0.12154696132596685,0.21674876847290642,0.8784530386740331,8.227272727272728,0.37043478260869567
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,reproduction_number,15,25,708,25,501,0,182,399,127,182,1,0,1.0,0.04752851711026616,0.09074410163339382,0.9524714828897338,21.040000000000003,0.2570621468926554
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,reproduction_number,16,36,575,34,329,2,210,262,101,212,0,0,0.9444444444444444,0.09366391184573003,0.17042606516290726,0.9063360881542699,10.676470588235293,0.3652173913043478
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,reproduction_number,17,15,209,15,133,0,61,114,34,61,0,0,1.0,0.10135135135135136,0.18404907975460125,0.8986486486486487,9.866666666666665,0.291866028708134
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,serial_interval,10,28,599,28,39,0,532,46,21,532,0,0,1.0,0.417910447761194,0.5894736842105264,0.582089552238806,2.392857142857143,0.8881469115191987
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,serial_interval,11,76,841,70,174,6,591,142,102,597,0,0,0.9210526315789473,0.28688524590163933,0.4375,0.7131147540983607,3.4857142857142858,0.7027348394768134
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,serial_interval,12,19,146,14,43,5,84,31,26,89,0,0,0.7368421052631579,0.24561403508771928,0.3684210526315789,0.7543859649122807,4.071428571428572,0.5753424657534246
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,serial_interval,13,51,111,47,57,4,3,71,33,7,0,0,0.9215686274509803,0.4519230769230769,0.6064516129032258,0.5480769230769231,2.2127659574468086,0.02702702702702703
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,covid19,serial_interval,14,9,94,8,66,1,19,50,24,20,0,0,0.8888888888888888,0.10810810810810811,0.1927710843373494,0.8918918918918919,9.25,0.20212765957446807
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,fatality,4,14,92,8,26,6,52,4,30,58,0,0,0.5714285714285714,0.23529411764705882,0.3333333333333333,0.7647058823529411,4.25,0.5652173913043478
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,fatality,7,27,352,23,136,4,189,61,98,193,0,0,0.8518518518518519,0.14465408805031446,0.24731182795698925,0.8553459119496856,6.91304347826087,0.5369318181818182
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,fatality,8,14,683,11,238,3,431,27,222,434,0,0,0.7857142857142857,0.04417670682730924,0.08365019011406845,0.9558232931726908,22.636363636363637,0.6310395314787701
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,fatality,12,16,643,15,221,1,406,28,208,407,0,0,0.9375,0.0635593220338983,0.11904761904761903,0.9364406779661016,15.733333333333334,0.6314152410575428
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,reproduction_number,9,3,819,3,79,0,737,7,75,737,0,0,1.0,0.036585365853658534,0.07058823529411765,0.9634146341463414,27.333333333333336,0.8998778998778999
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,serial_interval,5,8,59,8,27,0,24,16,19,24,0,0,1.0,0.22857142857142856,0.3720930232558139,0.7714285714285715,4.375,0.4067796610169492
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,serial_interval,6,5,521,4,116,1,400,13,107,401,1,0,0.8,0.03333333333333333,0.064,0.9666666666666667,30.0,0.7677543186180422
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,serial_interval,10,15,612,15,96,0,501,22,89,501,0,0,1.0,0.13513513513513514,0.2380952380952381,0.8648648648648649,7.3999999999999995,0.8186274509803921
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b,mpox,serial_interval,11,5,63,4,31,1,27,15,20,28,0,0,0.8,0.11428571428571428,0.19999999999999998,0.8857142857142857,8.75,0.42857142857142855
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,fatality,4,56,345,53,186,3,103,211,28,106,0,0,0.9464285714285714,0.2217573221757322,0.359322033898305,0.7782426778242678,4.509433962264151,0.2985507246376812
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,fatality,5,48,1861,48,335,0,1478,199,184,1478,21,0,1.0,0.12532637075718014,0.22273781902552203,0.8746736292428199,7.979166666666668,0.7941966684578183
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,fatality,6,32,2253,30,889,2,1332,690,229,1334,0,0,0.9375,0.03264417845484222,0.06309148264984227,0.9673558215451578,30.63333333333333,0.5912117177097204
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,reproduction_number,7,122,566,106,73,16,379,132,47,387,8,8,0.8688524590163934,0.5921787709497207,0.7043189368770764,0.4078212290502793,1.6886792452830188,0.6696113074204947
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,reproduction_number,8,44,558,43,298,1,217,255,86,217,17,1,0.9772727272727273,0.12609970674486803,0.22337662337662337,0.873900293255132,7.930232558139535,0.3888888888888889
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,reproduction_number,15,25,701,24,479,1,198,411,92,198,8,1,0.96,0.04771371769383698,0.09090909090909091,0.9522862823061631,20.958333333333336,0.28245363766048504
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,reproduction_number,16,36,560,30,296,6,232,249,77,234,15,4,0.8333333333333334,0.09202453987730061,0.16574585635359115,0.9079754601226994,10.866666666666667,0.4142857142857143
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,reproduction_number,17,15,192,13,105,2,73,98,20,74,17,1,0.8666666666666667,0.11016949152542373,0.19548872180451127,0.8898305084745762,9.076923076923077,0.3802083333333333
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,serial_interval,10,28,599,28,49,0,522,48,29,522,0,0,1.0,0.36363636363636365,0.5333333333333333,0.6363636363636364,2.75,0.8714524207011686
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,serial_interval,11,76,841,73,148,3,617,144,77,620,0,0,0.9605263157894737,0.33031674208144796,0.49158249158249157,0.6696832579185521,3.0273972602739727,0.7336504161712247
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,serial_interval,12,19,146,18,30,1,97,33,15,98,0,0,0.9473684210526315,0.375,0.537313432835821,0.625,2.6666666666666665,0.6643835616438356
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,serial_interval,13,51,111,44,49,7,11,65,28,18,0,0,0.8627450980392157,0.4731182795698925,0.6111111111111112,0.5268817204301075,2.1136363636363633,0.0990990990990991
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,covid19,serial_interval,14,9,94,8,64,1,21,48,24,22,0,0,0.8888888888888888,0.1111111111111111,0.19753086419753085,0.8888888888888888,9.0,0.22340425531914893
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,mpox,fatality,4,14,92,7,17,7,61,4,20,68,0,0,0.5,0.2916666666666667,0.3684210526315789,0.7083333333333333,3.4285714285714284,0.6630434782608695
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,mpox,fatality,7,27,352,27,94,0,231,65,56,231,0,0,1.0,0.2231404958677686,0.3648648648648649,0.7768595041322314,4.481481481481481,0.65625
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,mpox,fatality,8,14,667,8,135,6,518,30,113,524,16,0,0.5714285714285714,0.055944055944055944,0.10191082802547771,0.9440559440559441,17.875,0.7766116941529235
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,mpox,fatality,12,16,643,16,158,0,469,30,144,469,0,0,1.0,0.09195402298850575,0.16842105263157897,0.9080459770114943,10.875,0.7293934681181959
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,mpox,reproduction_number,9,3,819,3,57,0,759,12,48,759,0,0,1.0,0.05,0.09523809523809523,0.95,20.0,0.9267399267399268
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,mpox,serial_interval,5,8,59,7,25,1,26,12,20,27,0,0,0.875,0.21875,0.35,0.78125,4.571428571428571,0.4406779661016949
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,mpox,serial_interval,6,5,522,5,55,0,462,13,47,462,0,0,1.0,0.08333333333333333,0.15384615384615385,0.9166666666666666,12.0,0.8850574712643678
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,mpox,serial_interval,10,15,612,15,62,0,535,27,50,535,0,0,1.0,0.19480519480519481,0.32608695652173914,0.8051948051948052,5.133333333333333,0.8741830065359477
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2,mpox,serial_interval,11,5,63,5,21,0,37,14,12,37,0,0,1.0,0.19230769230769232,0.32258064516129037,0.8076923076923077,5.199999999999999,0.5873015873015873
model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_minimax2-5,covid19,fatality,4,56,343,54,162,2,125,181,35,127,2,0,0.9642857142857143,0.25,0.39705882352941174,0.75,4.0,0.36443148688046645
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,fatality,4,56,344,49,185,7,104,179,55,110,1,1,0.875,0.2094017094017094,0.3379310344827587,0.7905982905982906,4.775510204081632,0.3023255813953488
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,fatality,5,48,1878,42,350,6,1480,111,281,1486,4,0,0.875,0.10714285714285714,0.19090909090909092,0.8928571428571429,9.333333333333334,0.7880724174653887
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,fatality,6,32,2253,31,960,1,1261,657,334,1262,0,0,0.96875,0.03128153380423814,0.06060606060606061,0.9687184661957619,31.967741935483872,0.5596981802041722
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,reproduction_number,7,122,572,111,146,11,305,140,117,315,2,1,0.9098360655737705,0.43190661478599224,0.5857519788918206,0.5680933852140078,2.315315315315315,0.5332167832167832
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,reproduction_number,8,44,574,44,277,0,253,241,80,253,1,0,1.0,0.13707165109034267,0.24109589041095889,0.8629283489096573,7.295454545454546,0.44076655052264807
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,reproduction_number,15,25,709,25,429,0,255,350,104,255,0,0,1.0,0.05506607929515418,0.10438413361169101,0.9449339207048458,18.16,0.35966149506346967
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,reproduction_number,16,36,575,30,270,6,269,222,78,275,0,0,0.8333333333333334,0.1,0.17857142857142858,0.9,10.0,0.4678260869565217
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,reproduction_number,17,15,209,12,108,3,86,91,29,89,0,0,0.8,0.1,0.1777777777777778,0.9,10.0,0.41148325358851673
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,serial_interval,10,28,597,27,60,1,509,40,47,510,2,0,0.9642857142857143,0.3103448275862069,0.4695652173913043,0.6896551724137931,3.2222222222222223,0.8525963149078727
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,serial_interval,11,76,840,72,108,4,656,123,57,660,1,0,0.9473684210526315,0.4,0.5625,0.6,2.5,0.780952380952381
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,serial_interval,12,19,146,18,38,1,89,29,27,90,0,0,0.9473684210526315,0.32142857142857145,0.48,0.6785714285714286,3.1111111111111107,0.6095890410958904
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,serial_interval,13,51,111,42,40,9,20,56,26,29,0,0,0.8235294117647058,0.5121951219512195,0.6315789473684211,0.4878048780487805,1.9523809523809523,0.18018018018018017
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,covid19,serial_interval,14,9,94,9,51,0,34,43,17,34,0,0,1.0,0.15,0.2608695652173913,0.85,6.666666666666667,0.3617021276595745
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,mpox,fatality,4,14,92,2,3,12,75,3,2,87,0,0,0.14285714285714285,0.4,0.21052631578947364,0.6,2.5,0.8152173913043478
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,mpox,fatality,7,27,1321,27,150,0,1144,123,54,1144,0,0,1.0,0.15254237288135594,0.2647058823529412,0.847457627118644,6.555555555555555,0.8660105980317941
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,mpox,fatality,8,14,3722,8,253,6,3455,84,177,3461,4,0,0.5714285714285714,0.03065134099616858,0.058181818181818175,0.9693486590038314,32.625,0.9282643739924772
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,mpox,fatality,12,16,3314,16,530,0,2768,109,437,2768,3,0,1.0,0.029304029304029304,0.056939501779359435,0.9706959706959707,34.125,0.8352444176222088
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,mpox,reproduction_number,9,3,7284,3,549,0,6732,86,466,6732,8,0,1.0,0.005434782608695652,0.010810810810810811,0.9945652173913043,184.0,0.9242174629324547
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,mpox,serial_interval,5,8,59,6,18,2,33,6,18,35,0,0,0.75,0.25,0.375,0.75,4.0,0.559322033898305
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,mpox,serial_interval,6,5,2610,5,82,0,2523,33,54,2523,0,0,1.0,0.05747126436781609,0.10869565217391304,0.9425287356321839,17.4,0.9666666666666667
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,mpox,serial_interval,10,15,2910,14,386,1,2509,78,322,2510,0,0,0.9333333333333333,0.035,0.06746987951807229,0.965,28.57142857142857,0.8621993127147767
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash,mpox,serial_interval,11,5,63,5,41,0,17,19,27,17,0,0,1.0,0.10869565217391304,0.19607843137254902,0.8913043478260869,9.200000000000001,0.2698412698412698
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,fatality,4,56,345,55,163,1,126,179,39,127,0,0,0.9821428571428571,0.25229357798165136,0.40145985401459855,0.7477064220183487,3.963636363636364,0.3652173913043478
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,fatality,5,48,1882,48,287,0,1547,167,168,1547,0,0,1.0,0.14328358208955225,0.25065274151436034,0.8567164179104477,6.979166666666666,0.8219978746014878
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,fatality,6,32,2253,29,838,3,1383,569,298,1386,0,0,0.90625,0.03344867358708189,0.06451612903225806,0.9665513264129181,29.896551724137932,0.6138482023968043
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,reproduction_number,7,122,574,119,99,3,353,142,76,356,0,0,0.9754098360655737,0.5458715596330275,0.7000000000000001,0.45412844036697253,1.8319327731092439,0.6149825783972126
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,reproduction_number,8,44,575,42,252,2,279,219,75,281,0,0,0.9545454545454546,0.14285714285714285,0.2485207100591716,0.8571428571428572,7.0,0.4852173913043478
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,reproduction_number,15,25,709,24,402,1,282,368,58,283,0,0,0.96,0.056338028169014086,0.10643015521064302,0.9436619718309859,17.75,0.39774330042313116
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,reproduction_number,16,36,575,32,245,4,294,227,50,298,0,0,0.8888888888888888,0.11552346570397112,0.20447284345047922,0.8844765342960289,8.65625,0.5113043478260869
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,reproduction_number,17,15,209,12,100,3,94,89,23,97,0,0,0.8,0.10714285714285714,0.1889763779527559,0.8928571428571429,9.333333333333334,0.44976076555023925
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,serial_interval,10,28,599,26,45,2,526,45,26,528,0,0,0.9285714285714286,0.36619718309859156,0.5252525252525253,0.6338028169014085,2.730769230769231,0.8781302170283807
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,serial_interval,11,76,840,70,84,6,680,131,23,686,1,0,0.9210526315789473,0.45454545454545453,0.608695652173913,0.5454545454545454,2.2,0.8095238095238095
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,serial_interval,12,19,146,17,23,2,104,30,10,106,0,0,0.8947368421052632,0.425,0.576271186440678,0.575,2.3529411764705883,0.7123287671232876
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,serial_interval,13,51,111,44,30,7,30,65,9,37,0,0,0.8627450980392157,0.5945945945945946,0.7040000000000001,0.4054054054054054,1.6818181818181817,0.2702702702702703
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,covid19,serial_interval,14,9,94,8,39,1,46,44,3,47,0,0,0.8888888888888888,0.1702127659574468,0.2857142857142857,0.8297872340425532,5.875,0.48936170212765956
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,mpox,fatality,4,14,92,4,3,10,75,6,1,85,0,0,0.2857142857142857,0.5714285714285714,0.38095238095238093,0.4285714285714286,1.75,0.8152173913043478
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,mpox,fatality,7,27,1321,27,141,0,1153,121,47,1153,0,0,1.0,0.16071428571428573,0.27692307692307694,0.8392857142857143,6.222222222222221,0.8728236184708554
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,mpox,fatality,8,14,3726,10,529,4,3183,135,404,3187,0,0,0.7142857142857143,0.01855287569573284,0.03616636528028933,0.9814471243042672,53.9,0.8542673107890499
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,mpox,fatality,12,16,3316,16,859,0,2441,118,757,2441,1,0,1.0,0.018285714285714287,0.03591470258136925,0.9817142857142858,54.68749999999999,0.7361278648974668
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,mpox,reproduction_number,9,3,7292,3,825,0,6464,76,752,6464,0,0,1.0,0.0036231884057971015,0.007220216606498195,0.9963768115942029,276.0,0.8864509051014811
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,mpox,serial_interval,5,8,59,5,16,3,35,8,13,38,0,0,0.625,0.23809523809523808,0.3448275862068965,0.7619047619047619,4.2,0.5932203389830508
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,mpox,serial_interval,6,5,2610,5,85,0,2520,33,57,2520,0,0,1.0,0.05555555555555555,0.10526315789473684,0.9444444444444444,18.0,0.9655172413793104
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,mpox,serial_interval,10,15,2910,13,524,2,2371,75,462,2373,0,0,0.8666666666666667,0.024208566108007448,0.04710144927536231,0.9757914338919925,41.30769230769231,0.8147766323024055
model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1,mpox,serial_interval,11,5,63,5,42,0,16,18,29,16,0,0,1.0,0.10638297872340426,0.1923076923076923,0.8936170212765957,9.4,0.25396825396825395
model_5d_screening_multi_b20c5_separated_llmtier_20260507_lab_deepseek-3-2,covid19,fatality,4,56,345,53,177,3,112,204,26,115,0,0,0.9464285714285714,0.23043478260869565,0.3706293706293706,0.7695652173913043,4.339622641509434,0.32463768115942027
model_5d_screening_priority_batchmulti_b3c4_20260507_lab_deepseek-3-2,covid19,fatality,4,56,345,54,159,2,130,196,17,132,0,0,0.9642857142857143,0.2535211267605634,0.4014869888475836,0.7464788732394366,3.9444444444444446,0.37681159420289856
model_5d_screening_priority_stable_20260507_boyue_deepseek-v4-pro,covid19,fatality,4,56,345,53,142,3,147,182,13,150,0,0,0.9464285714285714,0.2717948717948718,0.42231075697211157,0.7282051282051283,3.679245283018868,0.4260869565217391
model_5d_screening_priority_stable_20260507_boyue_qwen3-6-plus,covid19,fatality,4,56,344,55,143,1,145,185,13,146,1,0,0.9821428571428571,0.2777777777777778,0.43307086614173224,0.7222222222222222,3.5999999999999996,0.42151162790697677
model_5d_screening_priority_stable_20260507_boyue_qwen3-6-plus,covid19,fatality,5,48,1882,48,125,0,1709,134,39,1709,0,0,1.0,0.2774566473988439,0.4343891402714932,0.7225433526011561,3.604166666666667,0.90807651434644
model_5d_screening_priority_stable_20260507_lab2_deepseek-v3-huawei-910b,covid19,fatality,4,56,344,55,191,1,97,205,41,98,1,0,0.9821428571428571,0.22357723577235772,0.3642384105960265,0.7764227642276422,4.472727272727273,0.2819767441860465
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,fatality,4,56,345,55,161,1,128,197,19,129,0,0,0.9821428571428571,0.25462962962962965,0.4044117647058824,0.7453703703703703,3.927272727272727,0.3710144927536232
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,fatality,5,48,1882,48,212,0,1622,145,115,1622,0,0,1.0,0.18461538461538463,0.3116883116883117,0.8153846153846154,5.416666666666666,0.8618490967056323
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,fatality,6,32,2253,31,767,1,1454,589,209,1455,0,0,0.96875,0.03884711779448621,0.07469879518072288,0.9611528822055138,25.741935483870968,0.6453617399023525
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,reproduction_number,7,122,574,101,42,21,410,125,18,431,0,0,0.8278688524590164,0.7062937062937062,0.7622641509433963,0.29370629370629375,1.415841584158416,0.7142857142857143
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,reproduction_number,8,44,575,41,233,3,298,240,34,301,0,0,0.9318181818181818,0.14963503649635038,0.2578616352201258,0.8503649635036497,6.682926829268292,0.5182608695652174
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,reproduction_number,15,25,709,25,402,0,282,386,41,282,0,0,1.0,0.0585480093676815,0.11061946902654866,0.9414519906323185,17.08,0.39774330042313116
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,reproduction_number,16,36,575,30,246,6,293,245,31,299,0,0,0.8333333333333334,0.10869565217391304,0.1923076923076923,0.8913043478260869,9.200000000000001,0.5095652173913043
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,reproduction_number,17,15,209,12,98,3,96,99,11,99,0,0,0.8,0.10909090909090909,0.192,0.8909090909090909,9.166666666666668,0.45933014354066987
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,serial_interval,10,28,599,27,33,1,538,43,17,539,0,0,0.9642857142857143,0.45,0.6136363636363636,0.55,2.2222222222222223,0.8981636060100167
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,serial_interval,11,76,841,73,87,3,678,133,27,681,0,0,0.9605263157894737,0.45625,0.6186440677966102,0.54375,2.191780821917808,0.8061831153388823
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,serial_interval,12,19,146,16,28,3,99,32,12,102,0,0,0.8421052631578947,0.36363636363636365,0.5079365079365079,0.6363636363636364,2.75,0.678082191780822
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,serial_interval,13,51,111,44,48,7,12,75,17,19,0,0,0.8627450980392157,0.4782608695652174,0.6153846153846154,0.5217391304347826,2.090909090909091,0.10810810810810811
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,covid19,serial_interval,14,9,94,8,58,1,27,54,12,28,0,0,0.8888888888888888,0.12121212121212122,0.21333333333333335,0.8787878787878788,8.25,0.2872340425531915
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,mpox,fatality,4,14,46,3,1,11,31,2,2,42,0,0,0.21428571428571427,0.75,0.3333333333333333,0.25,1.3333333333333333,0.6739130434782609
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,mpox,fatality,7,27,952,25,122,2,803,68,79,805,0,0,0.9259259259259259,0.17006802721088435,0.28735632183908044,0.8299319727891157,5.88,0.8434873949579832
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,mpox,serial_interval,5,8,18,6,0,2,10,2,4,12,0,0,0.75,1.0,0.8571428571428571,0.0,1.0,0.5555555555555556
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,mpox,serial_interval,6,5,55,5,25,0,25,18,12,25,0,0,1.0,0.16666666666666666,0.2857142857142857,0.8333333333333334,6.0,0.45454545454545453
