experiment,disease,topic,project,gt,total,tp,fp,fn,tn,strong,possible,unlikely,errors,missing_gt,recall,precision,f1,fdr,nns,workload_reduction
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,fatality,5,48,1882,48,171,0,1663,134,85,1663,0,0,1.0,0.2191780821917808,0.3595505617977528,0.7808219178082192,4.5625,0.8836344314558979
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,fatality,6,32,2253,32,802,0,1419,625,209,1419,0,0,1.0,0.03836930455635491,0.07390300230946882,0.9616306954436451,26.062500000000004,0.62982689747004
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,reproduction_number,7,122,574,78,35,44,417,103,10,461,0,0,0.639344262295082,0.6902654867256637,0.6638297872340425,0.3097345132743363,1.448717948717949,0.7264808362369338
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,reproduction_number,8,44,575,32,143,12,388,145,30,400,0,0,0.7272727272727273,0.18285714285714286,0.2922374429223744,0.8171428571428572,5.46875,0.6747826086956522
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,reproduction_number,15,25,708,22,285,3,398,286,21,401,1,0,0.88,0.07166123778501629,0.13253012048192772,0.9283387622149837,13.954545454545453,0.5621468926553672
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,reproduction_number,16,36,575,27,150,9,389,147,30,398,0,0,0.75,0.15254237288135594,0.2535211267605634,0.847457627118644,6.555555555555555,0.6765217391304348
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,reproduction_number,17,15,209,11,61,4,133,61,11,137,0,0,0.7333333333333333,0.1527777777777778,0.25287356321839083,0.8472222222222222,6.545454545454545,0.6363636363636364
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,serial_interval,10,28,599,27,47,1,524,44,30,525,0,0,0.9642857142857143,0.36486486486486486,0.5294117647058824,0.6351351351351351,2.740740740740741,0.8747913188647746
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,serial_interval,11,76,841,75,122,1,643,130,67,644,0,0,0.9868421052631579,0.38071065989847713,0.5494505494505494,0.6192893401015229,2.626666666666667,0.7645659928656362
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,serial_interval,12,19,145,16,43,3,84,31,28,86,0,1,0.8421052631578947,0.2711864406779661,0.41025641025641024,0.728813559322034,3.6875,0.5793103448275863
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,serial_interval,13,51,111,47,42,4,18,71,18,22,0,0,0.9215686274509803,0.5280898876404494,0.6714285714285714,0.4719101123595506,1.893617021276596,0.16216216216216217
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,serial_interval,14,9,94,9,51,0,34,47,13,34,0,0,1.0,0.15,0.2608695652173913,0.85,6.666666666666667,0.3617021276595745
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,fatality,4,56,344,4,16,52,272,0,20,324,1,0,0.07142857142857142,0.2,0.10526315789473682,0.8,5.0,0.7906976744186046
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,fatality,5,48,1881,2,430,46,1403,0,432,1449,1,0,0.041666666666666664,0.004629629629629629,0.008333333333333333,0.9953703703703703,216.0,0.745879851143009
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,fatality,6,32,2241,0,233,32,1976,0,233,2008,12,0,0.0,0.0,0.0,1.0,0.0,0.8817492190986167
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,reproduction_number,7,122,574,1,4,121,448,0,5,569,0,0,0.00819672131147541,0.2,0.015748031496062992,0.8,5.0,0.7804878048780488
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,reproduction_number,8,44,575,0,33,44,498,0,33,542,0,0,0.0,0.0,0.0,1.0,0.0,0.8660869565217392
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,reproduction_number,15,25,707,1,31,24,651,0,32,675,2,0,0.04,0.03125,0.03508771929824561,0.96875,32.0,0.9207920792079208
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,reproduction_number,16,36,575,1,33,35,506,0,34,541,0,0,0.027777777777777776,0.029411764705882353,0.02857142857142857,0.9705882352941176,34.0,0.88
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,reproduction_number,17,15,209,2,11,13,183,0,13,196,0,0,0.13333333333333333,0.15384615384615385,0.14285714285714288,0.8461538461538461,6.5,0.8755980861244019
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,serial_interval,10,28,599,28,520,0,51,0,548,51,0,0,1.0,0.051094890510948905,0.09722222222222222,0.948905109489051,19.571428571428573,0.08514190317195326
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,serial_interval,11,76,841,74,736,2,29,0,810,31,0,0,0.9736842105263158,0.09135802469135802,0.1670428893905192,0.908641975308642,10.945945945945946,0.034482758620689655
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,serial_interval,12,19,145,18,126,1,1,0,144,1,0,1,0.9473684210526315,0.125,0.2208588957055215,0.875,8.0,0.006896551724137931
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,serial_interval,13,51,111,51,59,0,1,0,110,1,0,0,1.0,0.4636363636363636,0.6335403726708074,0.5363636363636364,2.156862745098039,0.009009009009009009
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,serial_interval,14,9,94,9,83,0,2,0,92,2,0,0,1.0,0.09782608695652174,0.17821782178217824,0.9021739130434783,10.222222222222221,0.02127659574468085
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c8,covid19,fatality,4,56,325,0,0,56,273,0,0,325,20,4,0.0,0.0,0.0,0.0,0.0,0.84
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c8,covid19,fatality,5,48,1175,0,0,48,1141,0,0,1175,707,14,0.0,0.0,0.0,0.0,0.0,0.971063829787234
leads_mistral_strict_simple_20260506_185524,covid19,fatality,4,56,345,53,243,3,46,0,296,49,0,0,0.9464285714285714,0.17905405405405406,0.30113636363636365,0.8209459459459459,5.584905660377358,0.13333333333333333
leads_mistral_strict_simple_20260506_185524,covid19,fatality,5,48,1882,47,863,1,971,0,910,972,0,0,0.9791666666666666,0.051648351648351645,0.09812108559498955,0.9483516483516483,19.361702127659576,0.5159404888416578
leads_mistral_strict_simple_20260506_185524,covid19,fatality,6,32,2253,22,1050,10,1171,0,1072,1181,0,0,0.6875,0.020522388059701493,0.03985507246376812,0.9794776119402985,48.72727272727273,0.519751442521083
leads_mistral_strict_simple_20260506_185524,covid19,reproduction_number,7,122,574,121,302,1,150,0,423,151,0,0,0.9918032786885246,0.2860520094562648,0.4440366972477065,0.7139479905437351,3.495867768595041,0.2613240418118467
leads_mistral_strict_simple_20260506_185524,covid19,reproduction_number,8,44,575,44,431,0,100,0,475,100,0,0,1.0,0.09263157894736843,0.1695568400770713,0.9073684210526316,10.795454545454545,0.17391304347826086
leads_mistral_strict_simple_20260506_185524,covid19,reproduction_number,15,25,709,24,488,1,196,0,512,197,0,0,0.96,0.046875,0.0893854748603352,0.953125,21.333333333333332,0.2764456981664316
leads_mistral_strict_simple_20260506_185524,covid19,reproduction_number,16,36,575,36,438,0,101,0,474,101,0,0,1.0,0.0759493670886076,0.1411764705882353,0.9240506329113924,13.166666666666666,0.17565217391304347
leads_mistral_strict_simple_20260506_185524,covid19,reproduction_number,17,15,209,15,160,0,34,0,175,34,0,0,1.0,0.08571428571428572,0.15789473684210528,0.9142857142857143,11.666666666666666,0.16267942583732056
leads_mistral_strict_simple_20260506_185524,covid19,serial_interval,10,28,599,25,324,3,247,0,349,250,0,0,0.8928571428571429,0.07163323782234957,0.1326259946949602,0.9283667621776505,13.96,0.41235392320534225
leads_mistral_strict_simple_20260506_185524,covid19,serial_interval,11,76,841,74,557,2,208,0,631,210,0,0,0.9736842105263158,0.11727416798732171,0.20933521923620935,0.8827258320126783,8.527027027027028,0.2473246135552913
leads_mistral_strict_simple_20260506_185524,covid19,serial_interval,12,19,145,18,89,1,38,0,107,38,0,1,0.9473684210526315,0.16822429906542055,0.2857142857142857,0.8317757009345794,5.944444444444445,0.2620689655172414
