model_source,model_display,disease,title,row_type,topic,project,label,gt,tp,fp,raw,recall,nns,nns_lo,nns_hi,project_count,source_experiment
gpt_4_1,GPT-4.1,mpox,Mpox,project,Serial Interval,11,"Diaz Brochero et al., 2025",5,5,42,63,1.0,9.4,4.425848074937777,21.59635992506222,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,mpox,Mpox,project,Serial Interval,5,"Wang et al., 2022",8,5,16,59,0.625,4.2,2.217708841116479,9.409235158883526,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,mpox,Mpox,project,Serial Interval,6,"Ponce et al., 2024",5,5,85,522,1.0,18.0,8.094609924451273,41.735150075548745,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,mpox,Mpox,subtotal,Serial Interval,,Serial Interval,33,28,667,1256,0.8484848484848485,24.821428571428573,17.35775982894795,35.690597313909194,4,
gpt_4_1,GPT-4.1,mpox,Mpox,project,Reproduction Number,9,"Okoli et al., 2024",3,3,825,819,1.0,276.0,94.35599030688911,811.0712096931114,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,mpox,Mpox,subtotal,Reproduction Number,,Reproduction Number,3,3,825,819,1.0,276.0,94.35599030688911,811.0712096931114,1,
gpt_4_1,GPT-4.1,mpox,Mpox,project,Fatality,12,"Sanchez Clemente et al., 2024",16,16,859,643,1.0,54.6875,33.90233504675788,88.6031337032421,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,mpox,Mpox,project,Fatality,4,"Cadmus et al., 2024",14,4,3,92,0.2857142857142857,1.75,1.1879545056760914,3.992745494323909,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,mpox,Mpox,project,Fatality,7,"Vasudevan et al., 2025",27,27,141,352,1.0,6.222222222222222,4.46960535261557,8.860146087713646,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,mpox,Mpox,project,Fatality,8,"Sharif et al., 2023",14,10,529,683,0.7142857142857143,53.9,29.575364413333645,98.93085958666634,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_openai-gpt-4-1
gpt_4_1,GPT-4.1,mpox,Mpox,subtotal,Fatality,,Fatality,71,57,1532,1770,0.8028169014084507,27.87719298245614,21.64861847133963,35.98459248587797,4,
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Serial Interval,10,"Madewell et al., 2023",28,28,49,599,1.0,2.75,2.1044654745501443,3.7728345254498548,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Serial Interval,11,"Xu et al., 2023",76,73,148,841,0.9605263157894737,3.0273972602739727,2.5331721480863214,3.6809381165036568,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Serial Interval,12,"Alene et al., 2021",19,18,30,146,0.9473684210526315,2.6666666666666665,1.9365773296929452,3.9658819295663146,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Serial Interval,13,"Ali et al., 2022",51,44,49,111,0.8627450980392157,2.1136363636363638,1.7432791252107094,2.6685332714835055,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Serial Interval,14,"Rai et al., 2021",9,8,64,94,0.8888888888888888,9.0,4.896405701974022,17.425394298025985,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,subtotal,Serial Interval,,Serial Interval,183,171,340,1791,0.9344262295081968,2.9883040935672516,2.654979944802248,3.3887619792085584,5,
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Reproduction Number,7,"Dhungel et al., 2022",122,106,73,574,0.8688524590163934,1.6886792452830188,1.511713170148741,1.926845605216157,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Reproduction Number,8,"Ahammed et al., 2021",44,43,298,575,0.9772727272727273,7.930232558139535,6.0404953490597,10.528453055483299,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Reproduction Number,15,"Billah et al., 2020",25,24,479,709,0.96,20.958333333333332,14.282951461436891,30.98844576078534,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Reproduction Number,16,"Yu et al., 2021",36,30,296,575,0.8333333333333334,10.866666666666667,7.7923208754916296,15.332525346730591,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Reproduction Number,17,"Alimohamadi et al., 2020",15,13,105,209,0.8666666666666667,9.076923076923077,5.574167958288007,15.261978787274126,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,subtotal,Reproduction Number,,Reproduction Number,242,216,1251,2642,0.8925619834710744,6.791666666666667,6.013474620651,7.690649762065047,5,
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Fatality,4,"Lim et al., 2021",56,53,186,345,0.9464285714285714,4.509433962264151,3.589445214268344,5.75628009723041,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Fatality,5,"Ioannidis et al., 2021",48,48,335,1882,1.0,7.979166666666667,6.163321533966462,10.433611104922429,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,project,Fatality,6,"Alimohamadi et al., 2021",32,30,889,2253,0.9375,30.633333333333333,21.63614421259345,43.553222898517646,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,covid19,COVID-19,subtotal,Fatality,,Fatality,136,131,1410,4480,0.9632352941176471,11.763358778625955,10.001232289454663,13.87044800889625,3,
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,project,Serial Interval,10,"Wu et al., 2025",15,15,62,612,1.0,5.133333333333334,3.3686682450336507,8.212679310521903,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,project,Serial Interval,11,"Diaz Brochero et al., 2025",5,5,21,63,1.0,5.2,2.6401499750849258,11.755114024915073,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,project,Serial Interval,5,"Wang et al., 2022",8,7,25,59,0.875,4.571428571428571,2.580290193901663,9.07136694895548,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,project,Serial Interval,6,"Ponce et al., 2024",5,5,55,522,1.0,12.0,5.5342889838276035,27.68555101617241,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,subtotal,Serial Interval,,Serial Interval,33,32,163,1256,0.9696969696969697,6.09375,4.494800962124831,8.42425372537517,4,
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,project,Reproduction Number,9,"Okoli et al., 2024",3,3,57,819,1.0,20.0,7.298878690548413,58.311787976118275,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,subtotal,Reproduction Number,,Reproduction Number,3,3,57,819,1.0,20.0,7.298878690548413,58.311787976118275,1,
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,project,Fatality,12,"Sanchez Clemente et al., 2024",16,16,158,643,1.0,10.875,6.937554760343045,17.423532739656956,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,project,Fatality,4,"Cadmus et al., 2024",14,7,17,92,0.5,3.4285714285714284,2.033840516765721,6.704902340377134,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,project,Fatality,7,"Vasudevan et al., 2025",27,27,94,352,1.0,4.481481481481482,3.2766350378550686,6.323959749524904,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,project,Fatality,8,"Sharif et al., 2023",14,8,135,683,0.5714285714285714,17.875,9.389179426884114,34.94439557311587,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab_deepseek-3-2
lab_deepseek_3_2,Lab DeepSeek 3.2,mpox,Mpox,subtotal,Fatality,,Fatality,71,58,404,1770,0.8169014084507042,7.9655172413793105,6.294232093525801,10.164394303620455,4,
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Serial Interval,10,"Madewell et al., 2023",28,28,39,599,1.0,2.392857142857143,1.861147801826213,3.252866483888073,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Serial Interval,11,"Xu et al., 2023",76,70,174,841,0.9210526315789473,3.4857142857142858,2.8851900800754797,4.277534491353092,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Serial Interval,12,"Alene et al., 2021",19,14,43,146,0.7368421052631579,4.071428571428571,2.695232985326515,6.5648241575306265,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Serial Interval,13,"Ali et al., 2022",51,47,57,111,0.9215686274509803,2.2127659574468086,1.8262044198702354,2.7801905099622677,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Serial Interval,14,"Rai et al., 2021",9,8,66,94,0.8888888888888888,9.25,5.0228423116634895,17.91900768833651,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,subtotal,Serial Interval,,Serial Interval,183,167,379,1791,0.912568306010929,3.269461077844311,2.8922178208681726,3.7219136861776163,5,
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Reproduction Number,7,"Dhungel et al., 2022",122,118,119,574,0.9672131147540983,2.0084745762711864,1.782304041913384,2.3000328727663057,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Reproduction Number,8,"Ahammed et al., 2021",44,44,318,575,1.0,8.227272727272727,6.279818810527205,10.893042346497591,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Reproduction Number,15,"Billah et al., 2020",25,25,501,709,1.0,21.04,14.446529843675277,30.866560716324724,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Reproduction Number,16,"Yu et al., 2021",36,34,329,575,0.9444444444444444,10.676470588235293,7.81023700684206,14.749019740562781,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Reproduction Number,17,"Alimohamadi et al., 2020",15,15,133,209,1.0,9.866666666666667,6.230975326365217,16.02927711807922,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,subtotal,Reproduction Number,,Reproduction Number,242,236,1400,2642,0.9752066115702479,6.932203389830509,6.168511036657121,7.80873791479361,5,
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Fatality,4,"Lim et al., 2021",56,56,209,345,1.0,4.732142857142857,3.7818493070711128,6.007061407214602,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Fatality,5,"Ioannidis et al., 2021",48,42,569,1882,0.875,14.547619047619047,10.915325961327744,19.510534356132577,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,project,Fatality,6,"Alimohamadi et al., 2021",32,30,1212,2253,0.9375,41.4,29.177805328402187,58.92360267159781,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,covid19,COVID-19,subtotal,Fatality,,Fatality,136,128,1990,4480,0.9411764705882353,16.546875,14.00547946035927,19.584883625578225,3,
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,project,Serial Interval,10,"Wu et al., 2025",15,15,96,612,1.0,7.4,4.738280689519701,11.956908643813632,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,project,Serial Interval,11,"Diaz Brochero et al., 2025",5,4,31,63,0.8,8.75,3.8532980403257615,22.050201959674236,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,project,Serial Interval,5,"Wang et al., 2022",8,8,27,59,1.0,4.375,2.5629434709396337,8.287931529060366,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,project,Serial Interval,6,"Ponce et al., 2024",5,4,116,522,0.8,30.0,12.109237995117837,76.70276200488219,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,subtotal,Serial Interval,,Serial Interval,33,31,270,1256,0.9393939393939394,9.709677419354838,7.018604185117141,13.603998936631038,4,
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,project,Reproduction Number,9,"Okoli et al., 2024",3,3,79,819,1.0,27.333333333333332,9.791535330891062,79.87637578022004,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,subtotal,Reproduction Number,,Reproduction Number,3,3,79,819,1.0,27.333333333333332,9.791535330891062,79.87637578022004,1,
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,project,Fatality,12,"Sanchez Clemente et al., 2024",16,15,221,643,0.9375,15.733333333333333,9.784013561416012,25.712064660806206,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,project,Fatality,4,"Cadmus et al., 2024",14,8,26,92,0.5714285714285714,4.25,2.5002210940347727,8.040628905965228,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,project,Fatality,7,"Vasudevan et al., 2025",27,23,136,352,0.8518518518518519,6.913043478260869,4.8143952691415075,10.166350288514447,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,project,Fatality,8,"Sharif et al., 2023",14,11,238,683,0.7857142857142857,22.636363636363637,12.926397746894544,40.25177084814678,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_lab2_deepseek-v3-huawei-910b
lab2_deepseek_v3_huawei_910b,Lab2 DeepSeek V3 Huawei,mpox,Mpox,subtotal,Fatality,,Fatality,71,57,621,1770,0.8028169014084507,11.894736842105264,9.313190482831832,15.277946728617838,4,
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Serial Interval,10,"Madewell et al., 2023",28,25,31,599,0.8928571428571429,2.24,1.7365026120097675,3.0877047479902324,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Serial Interval,11,"Xu et al., 2023",76,74,89,841,0.9736842105263158,2.2027027027027026,1.8846470176714472,2.635108424256968,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Serial Interval,12,"Alene et al., 2021",19,17,23,146,0.8947368421052632,2.3529411764705883,1.7299481838028616,3.507643511698868,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Serial Interval,13,"Ali et al., 2022",51,44,35,111,0.8627450980392157,1.7954545454545454,1.5121183238076805,2.235550271233642,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Serial Interval,14,"Rai et al., 2021",9,8,44,94,0.8888888888888888,6.5,3.6331474960481396,12.488152503951863,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,subtotal,Serial Interval,,Serial Interval,183,168,222,1791,0.9180327868852459,2.3214285714285716,2.0817930538686826,2.614147422321794,5,
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Reproduction Number,7,"Dhungel et al., 2022",122,97,41,574,0.7950819672131147,1.422680412371134,1.2939793108270352,1.6077255249684796,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Reproduction Number,8,"Ahammed et al., 2021",44,43,240,575,0.9772727272727273,6.5813953488372094,5.04012675492322,8.7106427421022,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Reproduction Number,15,"Billah et al., 2020",25,25,415,709,1.0,17.6,12.116818128217979,25.78766827178202,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Reproduction Number,16,"Yu et al., 2021",36,32,245,575,0.8888888888888888,8.65625,6.307702874440216,12.043979938059783,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Reproduction Number,17,"Alimohamadi et al., 2020",15,13,102,209,0.8666666666666667,8.846153846153847,5.439496243018056,14.866917958165379,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,subtotal,Reproduction Number,,Reproduction Number,242,210,1043,2642,0.8677685950413223,5.966666666666667,5.282938850028497,6.759544705527062,5,
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Fatality,4,"Lim et al., 2021",56,54,152,345,0.9642857142857143,3.814814814814815,3.066019483247649,4.834998898096661,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Fatality,5,"Ioannidis et al., 2021",48,48,180,1882,1.0,4.75,3.731061449840029,6.149096883493304,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,project,Fatality,6,"Alimohamadi et al., 2021",32,30,688,2253,0.9375,23.933333333333334,16.943208896961178,33.988200880816606,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,covid19,COVID-19,subtotal,Fatality,,Fatality,136,132,1020,4480,0.9705882352941176,8.727272727272727,7.4475771916954745,10.260958345494608,3,
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,project,Serial Interval,10,"Wu et al., 2025",15,15,27,612,1.0,2.8,1.967190770836812,4.349907895829854,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,project,Serial Interval,11,"Diaz Brochero et al., 2025",5,5,18,63,1.0,4.6,2.3864138491213427,10.34785815087866,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,project,Serial Interval,5,"Wang et al., 2022",8,6,18,59,0.75,4.0,2.227180157269716,8.333886509396951,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,project,Serial Interval,6,"Ponce et al., 2024",5,5,66,522,1.0,14.2,6.472822141755618,32.83732185824439,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,subtotal,Serial Interval,,Serial Interval,33,31,129,1256,0.9393939393939394,5.161290322580645,3.818611900608762,7.143569160785619,4,
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,project,Reproduction Number,9,"Okoli et al., 2024",3,3,18,819,1.0,7.0,2.887128228658342,20.076605104675007,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,subtotal,Reproduction Number,,Reproduction Number,3,3,18,819,1.0,7.0,2.887128228658342,20.076605104675007,1,
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,project,Fatality,12,"Sanchez Clemente et al., 2024",16,15,142,643,0.9375,10.466666666666667,6.594226861497912,17.019689582946526,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,project,Fatality,4,"Cadmus et al., 2024",14,7,17,92,0.5,3.4285714285714284,2.033840516765721,6.704902340377134,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,project,Fatality,7,"Vasudevan et al., 2025",27,26,54,352,0.9629629629629629,3.076923076923077,2.3062901750722156,4.30218319770885,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,project,Fatality,8,"Sharif et al., 2023",14,12,130,683,0.8571428571428571,11.833333333333334,7.047110219606908,20.407800891504206,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro
boyue_deepseek_v4_pro,Boyue DeepSeek V4 Pro,mpox,Mpox,subtotal,Fatality,,Fatality,71,60,343,1770,0.8450704225352113,6.716666666666667,5.349076777359611,8.5143023337515,4,
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Serial Interval,10,"Madewell et al., 2023",28,27,30,599,0.9642857142857143,2.111111111111111,1.664386303536758,2.8582079351463707,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Serial Interval,11,"Xu et al., 2023",76,73,99,841,0.9605263157894737,2.356164383561644,2.00343471131229,2.8328863995903184,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Serial Interval,12,"Alene et al., 2021",19,18,28,146,0.9473684210526315,2.5555555555555554,1.867643249968613,3.7888802068215113,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Serial Interval,13,"Ali et al., 2022",51,45,40,111,0.8823529411764706,1.8888888888888888,1.582428510517829,2.3566016129389613,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Serial Interval,14,"Rai et al., 2021",9,8,54,94,0.8888888888888888,7.75,4.264472904099975,14.957077095900027,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,subtotal,Serial Interval,,Serial Interval,183,171,251,1791,0.9344262295081968,2.4678362573099415,2.2089438835000306,2.7821697993425536,5,
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Reproduction Number,7,"Dhungel et al., 2022",122,120,101,574,0.9836065573770492,1.8416666666666666,1.646441588048832,2.095849634173391,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
