disease,topic,project,parameter_type,estimate_measure,include_median,impute_se,method,n_studies,n_excluded,n_imputed,pooled_mean,se_pooled,ci_lower,ci_upper,i2,tau2,p_het,run_used
covid19,serial_interval,p10,serial_interval,mean,False,True,random,25,9,0,3.7566,0.114,3.5333,3.98,98.9,0.2186,0.0,20260422_163159_766
covid19,serial_interval,p11,serial_interval,mean,False,True,random,44,8,0,3.554,0.0949,3.368,3.7401,97.1,0.2951,0.0,batch1_20260422_210239
covid19,serial_interval,p12,serial_interval,mean,False,True,random,22,4,1,5.3842,0.2388,4.9161,5.8524,87.3,0.9361,0.0,20260421_163754_276
covid19,serial_interval,p13,serial_interval,mean,False,True,random,70,8,8,5.2427,0.1495,4.9497,5.5356,81.4,0.9654,0.0,20260421_125302_527
covid19,serial_interval,p14,serial_interval,mean,False,True,random,11,1,0,5.6453,0.4226,4.8169,6.4736,88.5,1.1754,0.0,20260422_153527_008
