project	topic	bucket	axis	value	tp	fp	fn	tn	recall	precision	f1	wr	nns	specificity	npv	accuracy	mcc	wss95	thresholds
P7	reproduction_number	possible	parameter	1	119	188	3	264	97.5%	38.8%	55.5%	46.5%	2.58	58.4%	98.9%	66.7%	0.459	41.5%	{"strong": {"disease_min": 4, "parameter_min": 4, "evidence_min": 3, "population_min": 2, "location_min": 2}, "possible": {"disease_min": 3, "parameter_min": 1, "evidence_min": 2, "population_min": 2, "location_min": 2}}
P7	reproduction_number	possible	parameter	2	107	62	15	390	87.7%	63.3%	73.5%	70.6%	1.58	86.3%	96.3%	86.6%	0.664	65.6%	{"strong": {"disease_min": 4, "parameter_min": 4, "evidence_min": 3, "population_min": 2, "location_min": 2}, "possible": {"disease_min": 3, "parameter_min": 2, "evidence_min": 2, "population_min": 2, "location_min": 2}}
P7	reproduction_number	possible	parameter	3	97	35	25	417	79.5%	73.5%	76.4%	77.0%	1.36	92.3%	94.3%	89.5%	0.698	72.0%	{"strong": {"disease_min": 4, "parameter_min": 4, "evidence_min": 3, "population_min": 2, "location_min": 2}, "possible": {"disease_min": 3, "parameter_min": 3, "evidence_min": 2, "population_min": 2, "location_min": 2}}
P7	reproduction_number	possible	parameter	4	85	21	37	431	69.7%	80.2%	74.6%	81.5%	1.25	95.4%	92.1%	89.9%	0.686	76.5%	{"strong": {"disease_min": 4, "parameter_min": 4, "evidence_min": 3, "population_min": 2, "location_min": 2}, "possible": {"disease_min": 3, "parameter_min": 4, "evidence_min": 2, "population_min": 2, "location_min": 2}}
